lganame,statename,population
Aba North,Abia,253274.6159
Aba South,Abia,277440.3471
Arochukwu,Abia,142898.5043
Bende,Abia,223490.5912
Ikwuano,Abia,140460.4009
Isiala-Ngwa North,Abia,235324.5937
Isiala-Ngwa South,Abia,212718.3697
Isuikwuato,Abia,165505.6846
Obi Nwga,Abia,430171.8479
Ohafia,Abia,232642.7513
Osisioma Ngwa,Abia,447598.0172
Ugwunagbo,Abia,100958.3379
Ukwa East,Abia,94231.21036
Ukwa West,Abia,146464.7078
Umuahia North,Abia,377491.7528
Umuahia South,Abia,251792.0382
Umu-Nneochi,Abia,191705.4793
Demsa,Adamawa,285015.9596
Fufore,Adamawa,443009.2323
Ganye,Adamawa,310190.1724
Girei,Adamawa,250603.9252
Gombi,Adamawa,290857.9657
Guyuk,Adamawa,251727.2952
Hong,Adamawa,304189.8986
Jada,Adamawa,315352.8397
Lamurde,Adamawa,197983.142
Madagali,Adamawa,245470.8309
Maiha,Adamawa,188095.1494
Mayo-Belwa,Adamawa,313080.9377
Michika,Adamawa,262407.8205
Mubi North,Adamawa,292263.7052
Mubi South,Adamawa,266029.6536
Numan,Adamawa,165014.7349
Shelleng,Adamawa,248189.2092
Song,Adamawa,381421.7986
Toungo,Adamawa,101975.0274
Yola North,Adamawa,323369.6308
Yola South,Adamawa,570232.5274
Abak,Akwa Ibom,196901.5075
Eastern Obolo,Akwa Ibom,38295.61355
Eket,Akwa Ibom,256972.6301
Esit Eket,Akwa Ibom,50760.14575
Essien Udim,Akwa Ibom,213603.232
Etim Ekpo,Akwa Ibom,118328.2977
Etinan,Akwa Ibom,83153.1968
Ibeno,Akwa Ibom,92166.67022
Ibesikpo Asutan,Akwa Ibom,230920.9042
Ibiono Ibom,Akwa Ibom,159402.1975
Ika,Akwa Ibom,63587.92733
Ikono,Akwa Ibom,99275.57832
Ikot Abasi,Akwa Ibom,133576.7497
Ikot Ekpene,Akwa Ibom,284961.86
Ini,Akwa Ibom,95885.70035
Itu,Akwa Ibom,173480.1571
Mbo,Akwa Ibom,71203.34484
Mkpat Enin,Akwa Ibom,122239.9178
Nsit Atai,Akwa Ibom,68606.67933
Nsit Ibom,Akwa Ibom,122391.6627
Nsit Ubium,Akwa Ibom,94412.39028
Obot Akara,Akwa Ibom,132695.4711
Okobo,Akwa Ibom,78328.04075
Onna,Akwa Ibom,70111.02463
Oron,Akwa Ibom,118063.8133
